"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"TBA","AL","gipsoch0",350000,"SS",5,0,15,0,2,0,1,".",5,4,1,2,0,0,0,0,1,0,0,1,"0","0",1,"0",0
"OAK","AL","byrneer0",328000,"LF",143,98,2614,172,7,2,2,".",143,569,91,161,39,3,20,73,17,1,46,111,"0","12",0,"5",11
"BAL","AL","bigbila0",340000,"LF",139,102,2745,215,2,2,0,".",139,478,76,134,23,1,15,68,8,3,45,113,"0","1",3,"4",7
"NYN","NL","garcika0",800000,"RF",62,44,1159,91,0,3,0,".",62,192,24,45,7,2,7,22,3,0,10,35,"0","0",0,"0",6
"SDN","NL","lawrebr0",925000,"P",34,34,609,11,38,0,3,".",34,62,5,6,1,0,0,2,0,0,3,25,"0","0",8,"0",1
"DET","AL","bondeje0",330000,"P",3,32,552,14,15,3,1,".",3,7,0,0,0,0,0,0,0,0,0,4,"0","0",0,"0",0
"PIT","NL","vogelry0",311500,"P",32,26,399,8,14,0,1,".",32,31,2,7,2,0,0,3,0,0,2,13,"0","0",10,"1",1
"ARI","NL","hillesh0",2600000,"1B",148,129,3340,1127,72,13,105,".",148,562,68,174,36,3,15,80,2,0,24,49,"2","12",0,"6",18
"SFN","NL","snowjt01",1500000,"1B",107,88,2379,801,55,4,69,".",107,346,62,113,32,1,12,60,4,0,58,61,"0","7",2,"4",5
"COL","NL","wilsopr0",9000000,"CF",58,51,1308,119,3,6,1,".",58,202,24,50,11,0,6,29,2,1,17,49,"2","3",0,"0",9
"CHA","AL","alomasa0",700000,"C",50,46,1131,277,16,3,2,"3",50,146,15,35,4,0,2,14,0,0,11,13,"2","2",3,"2",4
"TOR","AL","batismi0",3600000,"P",2,31,596,18,30,1,5,".",2,5,0,0,0,0,0,0,0,0,0,3,"0","0",0,"0",0
"CLE","AL","lakerti0",450000,"C",43,31,896,233,21,4,0,"5",43,117,12,25,2,0,3,17,0,0,7,28,"1","1",2,"1",5
"FLO","NL","cordewi0",600000,"1B",27,11,291,105,4,1,10,".",27,66,6,13,3,0,1,6,1,0,3,19,"0","2",0,"1",2
"TOR","AL","adamste0",1700000,"P",5,0,129,6,3,1,1,".",5,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"ATL","NL","thomsjo0",2250000,"P",31,33,595,12,27,1,2,".",31,66,3,13,1,0,0,4,0,0,0,24,"0","0",10,"0",2
"MIL","NL","overbly0",326000,"1B",159,150,4081,1309,113,11,110,".",159,579,83,174,53,1,16,87,2,1,81,128,"9","2",0,"6",11
"CHN","NL","aloumo01",9500000,"LF",155,152,4015,240,7,8,2,".",155,601,106,176,36,3,39,106,3,0,68,80,"2","0",0,"6",12
"PHI","NL","thomeji0",12166667,"1B",143,134,3539,1090,84,7,103,".",143,508,97,139,28,1,42,105,0,2,104,144,"26","2",0,"4",10
"COL","NL","nunezvl0",700000,"P",22,0,77,1,3,1,0,".",22,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"SLN","NL","simonja0",350000,"P",14,0,46,3,3,0,1,".",14,2,1,1,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"PHI","NL","myersbr0",362500,"P",29,31,528,15,23,0,1,".",29,51,6,10,4,0,0,1,0,0,2,17,"0","0",8,"0",2
"MIN","AL","santajo0",1600000,"P",2,34,684,9,24,4,2,".",2,8,0,3,0,0,0,2,0,0,0,1,"0","0",0,"0",0
"OAK","AL","muldema0",4450000,"P",2,33,677,6,51,3,3,".",2,4,2,0,0,0,0,0,0,0,1,3,"0","1",0,"0",0
"TEX","AL","ramirer0",303750,"P",1,0,107,2,3,0,0,".",1,0,0,0,0,0,0,0,0,0,0,0,"0",".",0,"0",0
"TEX","AL","soriaal0",5400000,"2B",145,142,3744,308,418,23,104,".",145,608,77,170,32,4,28,91,18,5,33,121,"4","10",0,"7",7
"CLE","AL","riskeda0",1025000,"P",4,0,232,7,4,0,1,".",4,0,0,0,0,0,0,0,0,0,0,0,"0",".",0,"0",0
"ANA","AL","haltesh0",575000,"3B",46,22,640,26,46,10,2,".",46,114,10,23,5,0,4,13,1,1,7,30,"0","0",0,"0",3
"TOR","AL","delgaca0",19700000,"1B",128,120,3116,1041,88,5,98,".",128,458,74,123,26,0,32,99,0,1,69,115,"12","13",0,"11",11
"OAK","AL","mecirji0",3300000,"P",4,0,143,1,3,0,0,".",4,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"CHN","NL","goodwto0",650000,"LF",77,3,134,12,0,0,0,".",77,105,11,21,8,0,0,3,5,0,8,22,"0","0",0,"1",1
"TBA","AL","gaudich0",302500,"P",3,4,128,1,5,1,0,".",3,1,0,0,0,0,0,0,0,0,0,0,"0","0",1,"0",0
"ARI","NL","sexsori0",8725000,"1B",23,23,613,199,27,1,19,".",23,90,20,21,4,0,9,23,0,0,14,21,"0","0",0,"0",2
"MON","NL","riverju0",312000,"RF",134,74,2165,151,13,3,3,".",134,391,48,120,24,1,12,49,6,2,34,45,"7","1",0,"0",11
"ATL","NL","drewjd01",4200000,"RF",145,137,3579,277,12,3,0,".",145,518,118,158,28,8,31,93,12,3,118,116,"2","5",1,"3",7
"PIT","NL","nunezab0",625000,"2B",112,22,591,60,70,2,24,".",112,182,17,43,9,0,2,13,1,3,10,36,"0","0",2,"1",8
"NYA","AL","cairomi0",900000,"2B",122,96,2568,195,275,6,59,".",122,360,48,105,17,5,6,42,11,3,18,49,"1","14",12,"4",7
"SLN","NL","lunahe01",300000,"SS",83,14,433,33,57,5,12,".",83,173,25,43,7,2,3,22,6,3,13,37,"0","2",1,"3",2
"FLO","NL","pennybr0",3725000,"P",20,21,394,14,15,1,1,".",20,47,1,3,0,0,0,1,0,0,0,13,"0","0",1,"0",1
"COL","NL","bernead0",320000,"P",16,2,97,1,4,0,0,".",16,5,1,0,0,0,0,0,0,0,0,3,"0","0",1,"0",0
"MIL","NL","helmswe0",1687500,"3B",92,65,1638,45,105,16,10,".",92,274,24,72,13,1,4,28,0,1,24,60,"1","5",1,"2",10
"LAN","NL","sanchdu0",305000,"P",63,0,240,9,11,0,0,".",63,4,1,1,1,0,0,2,0,0,0,1,"0","0",1,"0",1
"DET","AL","knottga0",316000,"P",2,19,406,14,11,0,1,".",2,3,2,1,0,0,0,0,0,0,1,1,"0","0",1,"0",0
"SDN","NL","burrose0",340000,"3B",130,119,3180,100,209,14,25,".",130,523,76,156,23,3,2,47,5,4,31,52,"4","9",1,"0",6
"CIN","NL","vanpoto0",300000,"P",47,11,346,5,10,1,0,".",47,17,1,3,0,0,0,1,0,0,1,6,"0","0",5,"0",0
"FLO","NL","benitar0",3500000,"P",62,0,209,4,3,1,0,".",62,1,0,0,0,0,0,0,0,0,0,1,"0","0",0,"0",0
"OAK","AL","melhuad0",357500,"C",69,53,1514,358,18,2,1,".",69,214,23,55,11,0,11,31,0,1,16,47,"1","0",1,"0",4
"SFN","NL","grissma0",2125000,"CF",145,138,3657,341,3,2,2,".",145,562,78,157,26,2,22,90,3,1,37,83,"5","1",2,"4",22
"BAL","AL","morame01",2333333,"3B",140,137,3631,122,258,21,21,".",140,550,111,187,41,0,27,104,11,6,66,95,"0","11",6,"3",10
"SEA","AL","hanseda0",750000,"3B",57,2,63,6,6,0,0,".",57,78,14,22,5,0,2,12,0,0,18,16,"3","0",0,"1",3
"PIT","NL","foggjo01",342000,"P",31,32,535,13,36,2,5,".",31,53,1,4,1,0,0,3,0,0,0,13,"0","0",11,"0",0
"TOR","AL","douglse0",305000,"P",14,3,116,3,2,0,0,".",14,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"SEA","AL","ibanera0",3916667,"LF",123,106,2848,227,10,4,3,".",123,481,67,146,31,1,16,62,1,2,36,72,"5","3",0,"4",10
"NYA","AL","rodrial0",22000000,"3B",155,155,4093,100,262,13,25,".",155,601,112,172,24,2,36,106,28,4,80,131,"6","10",0,"7",18
"NYA","AL","vazquja0",9000000,"P",2,32,594,9,37,2,4,".",2,4,1,1,1,0,0,0,0,0,0,0,"0","0",1,"0",1
"ATL","NL","byrdpa01",7000000,"P",18,19,343,7,15,3,2,".",18,30,2,6,0,0,0,4,0,0,5,7,"0","0",8,"0",0
"HOU","NL","berkmla0",6500000,"RF",160,89,2341,148,9,0,1,".",160,544,104,172,40,3,30,106,9,7,127,101,"14","10",0,"6",10
"HOU","NL","redditi0",395000,"P",26,17,302,7,18,1,3,".",26,29,1,4,0,0,0,0,0,0,0,13,"0","0",1,"0",0
"MON","NL","carroja0",310000,"LF",102,1,18,2,0,0,0,".",102,218,36,63,14,2,0,16,5,1,32,21,"1","1",2,"3",3
"FLO","NL","mordemi0",425000,"3B",69,4,201,10,16,2,3,".",69,84,7,19,3,0,1,5,0,1,6,18,"0","0",0,"0",1
"OAK","AL","hammoch0",2400000,"P",41,0,161,1,10,1,0,".",41,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"NYA","AL","wilsoen0",700000,"SS",93,4,177,10,25,1,6,".",93,240,19,51,9,0,6,31,1,2,15,20,"0","0",2,"5",5
"TEX","AL","mahayro0",500000,"P",4,0,201,3,9,0,1,".",4,1,0,0,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"KCA","AL","anderbr0",3250000,"P",2,26,498,5,24,2,2,".",2,1,0,0,0,0,0,0,0,0,0,0,"0","0",1,"0",0
"MIL","NL","hallbi03",310000,"2B",126,47,1255,95,113,9,29,".",126,390,43,93,20,3,9,53,12,6,20,119,"1","1",2,"2",4
"CIN","NL","acevejo0",340000,"P",38,27,473,4,18,0,0,".",38,43,0,2,0,0,0,1,0,0,3,26,"0","0",5,"1",1
"ATL","NL","hamptmi0",14625000,"P",35,29,517,13,37,2,4,".",35,64,7,11,3,0,2,7,0,0,3,23,"0","0",4,"0",1
"LAN","NL","dreifda0",12400000,"P",55,0,152,1,12,0,0,".",55,1,0,0,0,0,0,0,0,0,0,1,"0","0",0,"0",0
"DET","AL","munsoer0",1487500,"3B",109,87,2222,51,177,16,17,".",109,321,36,68,14,2,19,49,1,1,29,90,"3","6",1,"0",1
"PIT","NL","castijo0",300000,"2B",129,105,2853,230,301,11,81,".",129,383,44,98,15,2,8,39,3,2,23,92,"5","1",5,"2",12
"TOR","AL","wellsve0",870000,"CF",134,130,3405,327,5,1,0,".",134,536,82,146,34,2,23,67,9,2,51,83,"2","2",0,"1",17
"CHA","AL","wrighda0",340000,"P",4,4,53,1,2,1,0,".",4,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"TOR","AL","hudsoor0",322000,"2B",135,128,3374,276,449,12,90,".",135,489,73,132,32,7,12,58,7,3,51,98,"0","4",3,"4",12
"TOR","AL","phelpjo0",342000,"1B",79,11,299,101,2,2,7,".",79,295,38,70,13,2,12,51,0,0,18,73,"2","7",0,"1",9
"PIT","NL","stynech0",750000,"3B",74,39,1173,28,89,1,9,".",74,162,16,35,10,0,1,16,0,0,9,23,"2","2",1,"0",2
"LAN","NL","thursjo0",301000,"2B",17,0,34,2,3,0,1,".",17,17,1,3,1,1,0,1,0,0,0,5,"0","0",0,"1",0
"NYA","AL","crosbbu0",301400,"LF",55,0,100,3,0,0,0,".",55,53,8,8,2,0,2,7,2,0,2,13,"0","1",2,"0",0
"ATL","NL","reitsch0",950000,"P",80,0,239,3,7,0,1,".",80,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"SDN","NL","otsukak0",700000,"P",69,0,232,7,11,2,1,".",69,1,0,0,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"HOU","NL","stoneri0",395000,"P",15,0,57,2,6,0,0,".",15,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"BAL","AL","bauerri0",335000,"P",1,2,161,3,9,0,1,".",1,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"NYA","AL","mussimi0",16000000,"P",1,27,494,11,28,2,1,".",1,1,0,0,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"BOS","AL","ortizda0",4587500,"1B",150,31,781,253,21,4,23,".",150,582,94,175,47,3,41,139,0,0,75,133,"8","4",0,"8",12
"TOR","AL","woodwch0",775000,"SS",69,60,1544,87,171,5,42,".",69,213,21,50,13,4,1,24,1,2,14,46,"0","1",2,"2",3
"MIL","NL","kinnema0",400000,"P",31,6,187,3,4,0,0,".",31,9,0,2,0,0,0,1,0,0,0,1,"0","0",1,"0",0
"CLE","AL","stanfja0",302900,"P",2,2,33,2,2,0,1,".",2,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"LAN","NL","werthja0",303000,"LF",89,58,1578,116,6,4,2,".",89,290,56,76,11,3,16,47,4,1,30,85,"0","4",1,"1",1
"DET","AL","johnsja0",3000000,"P",1,33,590,10,17,3,1,".",1,3,0,0,0,0,0,0,0,0,0,2,"0","0",1,"0",0
"COL","NL","pelloki0",310000,"1B",59,3,78,26,3,1,3,".",59,121,15,29,5,1,2,10,1,0,8,43,"1","4",0,"0",3
"CLE","AL","bardjo01",316700,"C",7,6,159,47,4,0,1,"0",7,19,5,8,2,0,1,4,0,0,3,0,"0","0",0,"1",0
"COL","NL","jennija0",340000,"P",35,33,603,18,25,1,2,".",35,71,3,17,4,0,1,6,0,0,2,16,"0","0",5,"0",1
"MON","NL","evereca0",3000000,"LF",39,19,449,24,1,2,0,".",39,127,8,32,10,0,2,14,0,0,8,19,"2","5",0,"1",8
"PHI","NL","perezto0",750000,"1B",86,6,168,49,5,2,4,".",86,176,22,38,13,2,6,21,0,0,9,44,"2","1",3,"1",2
"SEA","AL","suzukic0",6500000,"RF",161,158,4216,372,12,3,2,".",161,704,101,262,24,5,8,60,36,11,49,63,"19","4",2,"3",6
"MON","NL","ohkato01",2337500,"P",14,15,254,4,11,1,3,".",14,25,0,2,0,0,0,0,1,0,1,8,"0","0",0,"0",0
"DET","AL","guillca0",2500000,"SS",136,133,3453,219,417,17,90,".",136,522,97,166,37,10,20,97,12,5,52,87,"3","2",3,"4",12
"PIT","NL","wilsoja0",1850000,"SS",157,155,4067,235,492,17,129,".",157,652,82,201,41,12,11,59,8,4,26,71,"0","3",7,"5",15
"HOU","NL","doteloc0",2800000,"P",30,0,104,4,0,0,0,".",30,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"LAN","NL","motagu01",1475000,"P",49,0,189,4,6,0,0,".",49,6,0,0,0,0,0,0,0,0,0,5,"0","0",0,"0",0
"PHI","NL","millwke0",11000000,"P",24,25,423,10,19,0,0,".",24,46,0,8,2,0,0,1,0,0,2,26,"0","0",5,"0",1
"CHN","NL","hollato0",1000000,"RF",57,26,697,54,2,0,0,".",57,148,28,47,6,2,8,22,1,1,17,26,"3","1",1,"0",2
"NYN","NL","zeileto0",1000000,"1B",137,34,1096,386,23,2,35,".",137,348,30,81,16,0,9,35,0,0,44,83,"1","1",1,"2",13
"CIN","NL","machaan0",300000,"SS",17,16,447,23,36,4,7,".",17,56,6,15,5,1,0,4,3,1,10,26,"2","0",0,"0",0
"TBA","AL","fickro01",800000,"LF",76,11,263,20,0,1,0,".",76,214,12,43,5,2,6,26,0,0,20,32,"2","2",0,"2",2
"LAN","NL","graboja0",301000,"LF",113,23,650,36,0,1,0,".",113,173,18,38,7,0,7,20,0,0,19,50,"0","0",0,"0",4
"NYA","AL","willibe0",12357143,"CF",148,93,2491,214,2,1,1,".",148,561,105,147,29,1,22,70,1,5,85,96,"5","2",1,"2",19
"PIT","NL","davisjj0",300000,"RF",25,7,183,14,1,1,0,".",25,35,4,5,1,0,0,3,2,0,4,10,"0","0",0,"1",0
"MIL","NL","obermwe0",314000,"P",24,20,354,11,12,0,0,".",24,39,2,15,3,0,0,5,0,0,1,14,"0","0",2,"0",1
"SFN","NL","hergema0",1100000,"P",67,0,196,5,6,0,1,".",67,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"CLE","AL","durbich0",315000,"P",17,8,154,4,4,1,0,".",17,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"SFN","NL","perezne0",2750000,"SS",103,48,1320,67,158,5,29,".",103,319,28,74,12,1,2,33,0,1,21,35,"3","0",9,"4",7
"BAL","AL","seguida0",7000000,"1B",18,2,54,17,0,0,1,".",18,59,8,20,3,0,1,7,0,1,5,13,"1","1",0,"0",3
"SFN","NL","tomkobr0",1200000,"P",33,31,582,13,25,2,2,".",33,62,3,7,1,0,0,0,0,0,2,27,"0","0",13,"0",1
"DET","AL","sheltch0",300000,"RF",27,0,3,1,0,0,0,".",27,46,6,9,1,0,1,3,0,0,9,14,"0","0",0,"1",2
"NYA","AL","sierrru0",1000000,"RF",107,20,477,37,1,1,0,".",107,307,40,75,12,1,17,65,1,0,25,55,"4","0",0,"6",5
"SDN","NL","cirilje0",6975000,"3B",33,8,235,8,10,0,1,".",33,75,12,16,3,0,1,7,0,0,5,14,"0","0",0,"1",0
"TOR","AL","bergda01",800000,"1B",58,3,120,43,3,2,8,".",58,154,13,39,4,0,3,23,0,1,4,27,"0","2",0,"2",4
"PIT","NL","sanchfr0",303000,"2B",9,3,75,3,4,0,1,".",9,19,2,3,0,0,0,2,0,0,0,3,"0","0",1,"0",0
"MIN","AL","thomabr0",300000,"P",3,0,8,0,1,0,0,".",3,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"OAK","AL","crosbbo0",300500,"SS",151,151,4068,242,505,19,107,".",151,545,70,130,34,1,22,64,7,3,58,141,"0","9",5,"6",20
"DET","AL","ingebr01",340000,"3B",131,58,1574,42,131,12,12,".",131,408,43,117,15,7,13,64,5,4,32,72,"0","4",8,"6",4
"SDN","NL","valdeis0",800000,"P",21,20,342,6,15,1,0,".",21,35,4,6,3,0,0,5,0,0,2,9,"0","0",3,"1",1
"MIN","AL","lecroma0",340000,"C",88,16,433,114,4,4,0,"1",88,264,25,71,14,0,9,39,0,0,16,60,"0","5",0,"2",7
"SEA","AL","martied0",3000000,"3B",141,0,0,0,0,0,0,".",141,486,45,128,23,0,12,63,1,0,58,107,"10","2",0,"3",15
"HOU","NL","laneja01",307500,"RF",107,13,422,28,0,0,0,".",107,136,21,37,10,2,4,19,1,0,16,33,"0","1",1,"2",2
"TOR","AL","hallaro0",6000000,"P",2,21,399,10,21,1,1,".",2,6,0,0,0,0,0,0,0,0,0,3,"0","0",0,"0",0
"TOR","AL","catalfr0",2300000,"LF",75,34,929,67,1,2,1,".",75,249,27,73,19,1,1,26,1,0,17,33,"1","4",1,"3",7
"CHA","AL","perezti0",850000,"RF",103,43,1151,83,5,0,3,".",103,293,38,72,12,0,5,40,3,1,15,29,"0","2",9,"2",9
"ATL","NL","almanar0",500000,"P",11,0,35,0,1,0,0,".",11,0,0,0,0,0,0,0,0,0,0,0,"0","0",1,"0",0
"ARI","NL","daiglca0",300000,"P",11,10,147,5,6,0,0,".",11,17,2,2,2,0,0,0,0,0,0,7,"0","0",1,"0",1
"SLN","NL","pujolal0",7000000,"1B",154,150,4016,1458,114,10,136,".",154,592,133,196,51,2,46,123,5,5,84,52,"12","7",0,"9",21
"CLE","AL","ludwiry0",304700,"RF",15,13,359,32,0,1,0,".",15,50,3,11,2,0,2,4,0,0,2,14,"0","2",0,"0",0
"MIN","AL","fultzaa0",550000,"P",4,0,150,2,8,0,0,".",4,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"CIN","NL","milleco0",317000,"C",13,12,312,84,5,1,1,"1",13,39,2,1,0,0,0,3,0,0,6,12,"0","3",0,"1",3
"ARI","NL","johnsra0",16000000,"P",33,35,737,5,20,0,0,".",33,80,1,10,3,0,0,6,0,0,4,37,"0","0",3,"0",1
"LAN","NL","perezod0",5000000,"P",30,31,589,5,44,1,1,".",30,62,5,7,2,0,0,2,0,0,2,17,"0","0",6,"0",2
"MIL","NL","vizcalu0",550000,"P",70,0,216,4,3,0,0,".",70,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"MON","NL","kimsu01",303000,"P",41,17,407,17,12,3,0,".",41,28,1,6,2,0,0,5,1,0,0,9,"0","0",4,"0",0
"BOS","AL","arroybr0",332500,"P",3,29,536,24,16,2,2,".",3,6,0,0,0,0,0,0,0,0,0,5,"0","0",1,"0",0
"CHA","AL","cottsne0",301000,"P",3,1,196,1,8,1,1,".",3,1,0,1,1,0,0,0,0,0,0,0,"0","0",0,"0",0
"COL","NL","lopezja0",317500,"P",58,0,122,6,17,1,2,".",58,2,0,0,0,0,0,0,0,0,0,2,"0","0",1,"0",0
"NYA","AL","contrjo0",8500000,"P",3,18,287,1,6,1,0,".",3,8,0,0,0,0,0,0,0,0,0,5,"0","0",0,"0",0
"LAN","NL","greensh0",16666667,"1B",157,107,2780,878,53,5,82,".",157,590,92,157,28,1,28,86,5,2,71,114,"6","8",0,"2",17
"OAK","AL","hattesc0",2300000,"1B",152,143,3840,1281,86,10,135,".",152,550,87,156,30,0,15,82,0,0,72,48,"5","5",3,"8",10
"CLE","AL","leecl02",303200,"P",1,33,537,5,7,0,0,".",1,3,0,1,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"COL","NL","claytro0",650000,"SS",146,140,3723,213,418,9,88,".",146,574,95,160,36,4,8,54,10,5,48,125,"0","4",24,"2",13
"FLO","NL","harrile0",400000,"3B",79,0,12,0,0,0,0,".",79,95,7,20,5,0,1,17,0,0,3,8,"0","0",0,"1",2
"SEA","AL","mechegi0",1950000,"P",23,23,383,5,7,1,0,".",23,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"KCA","AL","stairma0",1000000,"RF",126,54,1351,108,3,1,0,".",126,439,48,117,21,3,18,66,1,0,49,92,"2","5",0,"3",15
"ARI","NL","bautida0",4000000,"RF",141,135,3536,265,8,4,1,".",141,539,64,154,27,1,11,65,6,2,35,66,"2","4",1,"3",20
