state,county,landarea,popn,phys,farmpop,numfarm,farmacre,veterans,percviet
AL,Wilcox,889,13672,4,666,322,156950,836,20.8
AZ,Maricopa,9204,2209567,4320,2124,2334,1391456,262170,31.5
AZ,Maricopa,9204,2209567,4320,2124,2334,1391456,262170,31.5
AZ,Pinal,5370,120786,61,881,730,1958489,14858,29.1
AR,Garland,678,76100,131,524,389,41293,11055,21.3
AR,Mississippi,898,55060,48,955,615,488042,5285,33.8
CA,Contra_Costa,720,840585,1761,607,840,200262,93838,32.5
CA,Kern,8142,587680,682,3307,2255,3037068,56910,32.9
CA,Los_Angeles,4060,9053645,23677,1154,2035,280156,688576,27.3
CA,Los_Angeles,4060,9053645,23677,1154,2035,280156,688576,27.3
CA,Los_Angeles,4060,9053645,23677,1154,2035,280156,688576,27.3
CA,Los_Angeles,4060,9053645,23677,1154,2035,280156,688576,27.3
CA,Merced,1929,189107,185,8893,3048,1049302,15791,37.4
CA,Orange,790,2484789,6062,46,504,108887,235039,30.9
CA,Riverside,7208,1288435,1385,4464,3874,491150,138541,31.2
CA,San_Francisco,47,728921,4761,0,5,0,63229,27
CA,Ventura,1846,686560,1168,4111,2120,328960,74253,36.1
CO,Arapahoe,803,420882,583,583,285,295183,50065,42.5
FL,Alachua,874,189409,1180,2295,1161,192255,18369,33.5
FL,Lee,804,352051,509,372,415,132665,56284,19.8
FL,Orange,908,714579,1367,1066,1125,161900,83928,33.9
FL,Pinellas,280,854976,1620,25,166,8549,136044,24.6
GA,Forsyth,226,49859,21,483,478,42909,4729,33.3
IL,Cook,946,5139341,15153,196,389,46907,457880,24.2
IL,Cook,946,5139341,15153,196,389,46907,457880,24.2
IL,Cook,946,5139341,15153,196,389,46907,457880,24.2
IL,DuPage,334,816116,2157,83,161,25432,73498,31.7
IL,Kane,521,333626,473,2094,824,227961,30616,32.2
IL,Kane,521,333626,473,2094,824,227961,30616,32.2
IL,Lake,448,541047,1093,586,448,82349,53060,32.7
IL,St._Clair,664,263124,329,2950,1101,279859,32026,30.3
IL,Williamson,424,58449,63,1987,808,101857,7617,30.4
IN,Bartholomew,407,65498,102,2950,748,175883,7479,26.7
KS,Douglas,457,84538,107,1716,852,233426,6476,33.4
KY,Boone,246,63107,62,1350,810,84750,6363,35.3
KY,Jefferson,385,670837,2171,432,641,55183,79487,28.4
KY,Jefferson,385,670837,2171,432,641,55183,79487,28.4
LA,Jefferson,306,457738,1237,47,102,15748,46391,30.6
LA,St._Charles,284,44372,18,18,72,37656,4080,32.4
MD,Frederick,663,159738,172,2950,1439,236350,17153,36.3
MD,Worcester,473,37306,24,823,631,123406,5054,22.7
MI,Oakland,873,1118611,4020,943,596,60358,112416,28.7
MI,Oakland,873,1118611,4020,943,596,60358,112416,28.7
MN,Hennepin,557,1041332,3706,1094,852,91078,115030,30
MN,Otter_Tail,1980,51362,55,6626,2925,876319,6415,24.7
MS,Leflore,592,37477,42,821,281,277137,2427,18.8
MS,Pearl_River,812,39879,22,777,584,123870,4667,31.1
MO,Jasper,640,91895,135,2169,1418,275511,11002,29.1
MO,Nodaway,877,21236,15,3244,1475,528861,1825,22.6
NE,Lancaster,839,219582,389,3081,1508,448286,22688,32.5
NJ,Atlantic,561,229430,379,661,384,29423,26390,23.1
NJ,Burlington,805,397631,719,1430,834,103224,51275,33.3
NJ,Camden,222,507735,1255,99,177,10033,54778,26.4
NM,Lea,4393,56659,40,491,561,2220431,5405,30.4
NM,Santa_Fe,1909,105178,235,231,324,509708,11973,34.4
NY,Kings,71,2286167,4861,0,4,4,137669,21.5
NY,Kings,71,2286167,4861,0,4,4,137669,21.5
NY,Kings,71,2286167,4861,0,4,4,137669,21.5
NY,Monroe,659,724418,2438,1180,682,134670,72558,27.1
NY,Nassau,287,1302067,6147,0,67,1471,147207,18.9
NY,New_York,28,1489066,14052,0,0,0,101647,20.5
NY,New_York,28,1489066,14052,0,0,0,101647,20.5
NY,Richmond,59,391085,1242,0,7,16,37759,26.4
NY,Richmond,59,391085,1242,0,7,16,37759,26.4
NY,Saratoga,812,188387,215,1447,528,82878,21895,30.6
NY,Suffolk,911,1338204,3021,406,696,41799,149324,26.1
NY,Suffolk,911,1338204,3021,406,696,41799,149324,26.1
NC,Rutherford,564,57951,46,801,503,58090,6645,27.7
OH,Allen,584,26405,168,3139,1148,201190,12642,27.9
OH,Cuyahoga,458,1411209,5620,16,150,5563,163322,24.1
OH,Franklin,540,992095,2675,1155,581,121999,102307,31.8
OH,Hamilton,407,872026,3164,362,350,28318,93512,26
OH,Harrison,404,15946,12,734,465,118939,1862,26.7
OH,Lucas,340,461508,1391,1417,492,83205,50686,25.5
OH,Stark,576,372125,595,2719,1306,153302,44658,26.7
OK,Tulsa,570,519847,1158,792,913,139900,59305,31.3
OR,Multnomah,435,600811,2571,1115,552,34011,73736,32.6
OR,Wasco,2381,22219,44,1079,487,1172745,3322,30.6
PA,Allegheny,730,1334396,5281,586,451,42686,175155,22.4
PA,Allegheny,730,1334396,5281,586,451,42686,175155,22.4
PA,Bucks,608,556279,879,1811,841,85113,63454,30
PA,Delaware,184,549506,1374,74,95,8036,66684,22.5
PA,Luzerne,891,328927,594,915,473,58441,46156,21.9
PA,Northampton,374,252393,459,1104,484,86694,30630,26.7
SC,Greenville,792,324558,650,1162,678,74501,35814,31
SD,Charles_Mix,1098,9265,6,1821,830,646007,962,19.9
TN,Coffee,429,41641,50,1423,887,143496,4975,32.6
TN,Dickson,490,36509,27,1868,1068,148611,3747,30.1
TN,Hamblen,161,51657,54,1209,843,58434,5547,29.9
TN,Shelby,755,844847,2489,747,733,139587,84881,33.7
TN,Sullivan,413,146676,377,1478,1432,97537,18325,28.4
TX,Cooke,874,30948,21,1981,1289,515267,3700,30.9
TX,Ector,901,122338,153,189,223,589050,11619,30.1
TX,Fort_Bend,875,255788,231,1425,1233,363823,18375,46
TX,Wichita,628,120386,243,581,544,298490,15181,37.1
UT,Davis,305,199953,166,154,647,63244,17445,35.8
VA,Chesterfield,426,225225,181,457,169,20168,23574,43.1
WA,King,2126,1557537,5280,1954,1498,54172,187401,34.2
WI,Lincoln,883,27822,28,1204,507,109031,3315,24.5
WI,Waukesha,556,320306,687,1034,818,126734,34726,30.9